This is a preview of the content extracted from the "list.ods" file.
Do not edit it manually. You can use it to track changes in the source file.
Always generate and commit it when you change anything in the source file.

------------------------------------------- instr -------------------------------------------
Name: instr
Headers: Instruction | Immediate | Binary Opcode | Parser | Type | Reduction | After reduction | Generate
Description:  |  |  |  |  |  |  | 
unreachable |  | 0x00 |  | [t1∗]→[t2∗] | ! | false | 
nop |  | 0x01 |  | []→[] | ## | true | # NOP
block | bt | 0x02 | block | [t1∗]→[t2∗] | ## | true | !
loop | bt | 0x03 | block | [t1∗]→[t2∗] | ## | true | !
if | bt | 0x04 | block | [t1∗ i32]→[t2∗] | ## | true | !
else |  | 0x05 | else |  | ! | true | !
end |  | 0x0B | end |  | ! | true | !
br | l | 0x0C | labelidx | [t1∗ t∗]→[t2∗] | ! | true | !
br_if | l | 0x0D | labelidx | [t∗ i32]→[t∗] | ! | true | !
br_table | l∗ l | 0x0E | labelidx[] | [t1∗ t∗ i32]→[t2∗] | ! | true | !
return |  | 0x0F |  | [t1∗ t∗]→[t2∗] | ! | false | 
call | x | 0x10 | funcidx | [t1∗]→[t2∗] | ! | true | !
call_indirect | x y | 0x11 | typeidx, tableidx | [t1∗ i32]→[t2∗] | ! | false | 
drop |  | 0x1A |  | [t]→[] | ! | false | 
select |  | 0x1B |  | [t t i32]→[t] | !select | false | 
select_t | t | 0x1C | valtype[] | [t t i32]→[t] | !select | false | 
local.get | x | 0x20 | localidx | []→[t] | ! | false | 
local.set | x | 0x21 | localidx | [t]→[] | ! | false | 
local.tee | x | 0x22 | localidx | [t]→[t] | ! | false | 
global.get | x | 0x23 | globalidx | []→[t] | ! | false | 
global.set | x | 0x24 | globalidx | [t]→[] | ! | false | 
table.get | x | 0x25 | tableidx | [i32]→[t] | ! | true | !
table.set | x | 0x26 | tableidx | [i32 t]→[] | ! | true | !
i32.load | memarg | 0x28 | memarg | [i32]→[i32] | ## | true | UREAD32 [AMB0] + [POP] + {offset}
i64.load | memarg | 0x29 | memarg | [i32]→[i64] | {#mem64} ## {elif ..offset == 0} @i64_load_0 {else} i32.const value:..offset ; @i64_load | #mem64 | UREAD64 [AMB0] + [POP] + {offset}
f32.load | memarg | 0x2A | memarg | [i32]→[f32] | i32.load offset, memory | false | 
f64.load | memarg | 0x2B | memarg | [i32]→[f64] | {#mem64} i64.load memory, offset {elif ..offset == 0} @i64_load_0 {else} i32.const value:..offset ; @i64_load | false | 
i32.load8_s | memarg | 0x2C | memarg | [i32]→[i32] | ## | true | UREAD8S [AMB0] + [POP] + {offset}
i32.load8_u | memarg | 0x2D | memarg | [i32]→[i32] | ## | true | UREAD8U [AMB0] + [POP] + {offset}
i32.load16_s | memarg | 0x2E | memarg | [i32]→[i32] | ## | true | UREAD16S [AMB0] + [POP] + {offset}
i32.load16_u | memarg | 0x2F | memarg | [i32]→[i32] | ## | true | UREAD16U [AMB0] + [POP] + {offset}
i64.load8_s | memarg | 0x30 | memarg | [i32]→[i64] | i32.load8_s offset, memory {#i64} i64.extend_i32_s {else} @i64_extend_i32_s | false | 
i64.load8_u | memarg | 0x31 | memarg | [i32]→[i64] | i32.load8_u memory, offset ; i32.const value:0 | false | 
i64.load16_s | memarg | 0x32 | memarg | [i32]→[i64] | i32.load16_s offset, memory {#i64} i64.extend_i32_s {else} @i64_extend_i32_s | false | 
i64.load16_u | memarg | 0x33 | memarg | [i32]→[i64] | i32.load16_u memory, offset ; i32.const value:0 | false | 
i64.load32_s | memarg | 0x34 | memarg | [i32]→[i64] | i32.load offset, memory {#i64} i64.extend_i32_s {else} @i64_extend_i32_s | false | 
i64.load32_u | memarg | 0x35 | memarg | [i32]→[i64] | i32.load offset, memory ; i32.const value:0 | false | 
i32.store | memarg | 0x36 | memarg | [i32 i32]→[] | ## | true | UWRITE32 [AMB0] + [POP] + {offset}
i64.store | memarg | 0x37 | memarg | [i32 i64]→[] | {#mem64} ## {elif ..offset == 0} @i64_store_0 {else} i32.const value:..offset ; @i64_store {end} | #mem64 | UWRITE64 [AMB0] + [POP] + {offset}
f32.store | memarg | 0x38 | memarg | [i32 f32]→[] | i32.store offset, memory | false | 
